"id";"jenis_aktiva";"quantity";"harga";"total";"tanggal_beli";"maks";"penyusutan";"pemakaian";"status";"id_cat";"created_at";"updated_at"
"125";"6 AC DAIKIN @Rp.5.450.000 SMP KOPER";"6";"5450000";"32700000";"2017-11-02 00:00:00";"1";"0.00";"0";"D";"3";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"126";"MEJA & KURSI(BHN2+OKS) M.WANGI";"60";"327233";"19634000";"2012-04-30 00:00:00";"5";"327233.33";"60";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"127";"PMBYRN I CCTV MEKAR (2 ROLL KABEL)";"0";"3000000";"3000000";"2012-07-30 00:00:00";"5";"50000.00";"60";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"128";"PMBYRN II CCTV MEKAR";"0";"745000";"745000";"2012-08-30 00:00:00";"5";"12416.67";"60";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"129";"PMBYRN III PEMASANGAN CCTV MEKAR";"0";"14469800";"14469800";"2012-09-30 00:00:00";"5";"241163.33";"60";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"130";"PMBYRN IV CCTV MEKAR(BACKUP CCTV)";"1";"930000";"930000";"2012-10-30 00:00:00";"5";"15500.00";"60";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"131";"PRINTER EPSON L-120 MW (TU ADM & PERPUST)";"2";"1500000";"3000000";"2015-11-30 00:00:00";"1";"250000.00";"12";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"132";"TV 40"" PANASONIC (LAB BIO,FISIKA,KIMIA) MW";"3";"4100000";"12300000";"2015-11-30 00:00:00";"3";"341666.67";"24";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"133";"AC (DIRPEL & KEU @3.8JT + KOORD.KROOHANIAN 3.5JT)";"3";"3700000";"11100000";"2015-12-30 00:00:00";"1";"925000.00";"12";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"134";"AC (R.ACCTG Rp.3,8JT) + PIPA+KABEL";"1";"4010000";"4010000";"2016-01-30 00:00:00";"1";"334166.67";"12";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"135";"AC (R.FOCO Rp.3,8JT) + PIPA+KABEL";"1";"4010000";"4010000";"2016-01-30 00:00:00";"1";"334166.67";"12";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"136";"LAPTOP ASUS SMA MW";"1";"3380000";"3380000";"2016-02-29 00:00:00";"1";"281666.67";"12";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"137";" JETPUMP GRUNDFOS JD BASIC 5500 WATT";"1";"4715000";"4715000";"2016-03-30 00:00:00";"1";"392916.67";"12";"FD";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"138";"2 BH KOMP KEU @5.484.000 & 1 CPU+KEYB 3.676.000";"3";"4881333";"14644000";"2016-07-30 00:00:00";"3";"406777.78";"16";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
"139";"AC DAIKIN 2 PK+PERLENGKPN";"6";"5900000";"35400000";"2016-07-30 00:00:00";"6";"491666.67";"16";"D";"5";"2018-03-14 02:53:02";"2018-03-14 02:53:02"
