"No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"111";"TV40""PANASONIC R.GURU SD+SMP KOPER";"2";"2016-08-30";"1";"12";"1";"0";"7900000";"7900000";"0";"0";"7900000";"0"
"112";"AMPLIFIER TOA ZA-2240 SMP KOPER";"1";"2016-08-30";"1";"12";"1";"0";"3500000";"3500000";"0";"0";"3500000";"0"
"113";"PRINTER EPSON L-310";"1";"2016-09-30";"1";"12";"1";"0";"1765000";"1765000";"0";"0";"1765000";"0"
"114";"HANDYCAM+MEMORY+TRIPOD U/ TK & SD KOPER";"2";"2017-01-30";"1";"12";"1";"0";"5350000";"5350000";"0";"0";"5350000";"0"
"115";"KOMPUTER (U/ SERVER &CADANGAN UNBK) @7.770.000";"2";"2017-02-28";"5";"23";"1.92";"3.08";"15540000";"5957000.00";"9583000.00";"259000";"6216000.00";"9324000.00"
"116";"AMPLIFIER 120W";"1";"2017-03-30";"1";"12";"1";"0";"2215000";"2215000";"0";"0";"2215000";"0"
"117";"PC INTEL + MAINBOARD + HARDISK";"13";"2017-07-30";"1";"12";"1";"0";"50310000";"50310000";"0";"0";"50310000";"0"
"118";"Printer EPSON L310";"1";"2017-07-30";"1";"12";"1";"0";"1695000";"1695000";"0";"0";"1695000";"0"
"119";"PRINTER EPSON L-310 SD KOPER";"2";"2017-08-30";"1";"12";"1";"0";"3390000";"3390000";"0";"0";"3390000";"0"
"120";"PRINTER EPSON L-310 SMP KOPER";"1";"2017-08-30";"1";"12";"1";"0";"1695000";"1695000";"0";"0";"1695000";"0"
"121";"PROJECTOR CASIO SMP KOPER";"2";"2017-08-30";"1";"12";"1";"0";"13400000";"13400000";"0";"0";"13400000";"0"
"122";"AMPLIFIER BHAMP TOA SMP KOPER";"1";"2017-08-30";"1";"12";"1";"0";"3000000";"3000000";"0";"0";"3000000";"0"
