    "No";"Jenis Aktiva";"Q";"Tanggal Beli";"Maks";"Pemakaian (bulan)";"Pemakaian (tahun)";"Sisa Pemakaian (tahun)";"Harga Perolehan";"Akumulasi Penyusutan Awal Bulan";"Nilai Sisa Awal Bulan";"Penyusutan";"Akumulasi Penyusutan Akhir Bulan";"Nilai Sisa Akhir Bulan"
"80";"ONGKOS TUKANG BANG.MW";"1";"2011-04-30";"15";"79";"6.58";"8.42";"6700000";"2940555.38";"3759444.62";"37222.22";"2977777.60";"3722222.40"
"81";"BAHAN2 BANG.MW THP 3";"1";"2011-05-30";"15";"78";"6.5";"8.5";"84160500";"36469549.74";"47690950.26";"467558.33";"36937108.07";"47223391.93"
"82";"ONGKOS TUKANG BANG.MW";"1";"2011-05-30";"15";"78";"6.5";"8.5";"4000000";"1733333.16";"2266666.84";"22222.22";"1755555.38";"2244444.62"
"83";"BAHAN2 BANG MW THP 3";"1";"2011-06-30";"15";"77";"6.42";"8.58";"99090000";"42388500.00";"56701500.00";"550500";"42939000.00";"56151000.00"
"84";"ONGKOS TUKANG BANG.MW";"1";"2011-06-30";"15";"77";"6.42";"8.58";"10580000";"4525889.06";"6054110.94";"58777.78";"4584666.84";"5995333.16"
"85";"PELUN. BANG/RENOV.CIATEUL (SUHANDY)";"1";"2011-06-30";"15";"77";"6.42";"8.58";"64000000";"27377778.12";"36622221.88";"355555.56";"27733333.68";"36266666.32"
"";"";"";"";"";"";"";"TOTAL";"16535063493";"12086801953.76";"4448261539.24";"39436528.65";"12126238482.41";"4408825010.59"
"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Inventaris Ciateul";"";"";"";"";"";"";"";"";"";"";"";"";""
"86";"KOMPUTER";"1";"2008-10-08";"24";"110";"9.17";"14.83";"4162400";"1589805.80";"2572594.20";"14452.78";"1604258.58";"2558141.42"
"87";"PELUNASAN MAINAN TK PASUNDAN";"1";"2012-04-30";"5";"60";"5";"0";"6000000";"6000000";"0";"0";"6000000";"0"
"88";"DRUMBAND 1 SET";"1";"2015-09-30";"5";"27";"2.25";"2.75";"10553535";"4749090.75";"5804444.25";"175892.25";"4924983.00";"5628552.00"
"89";"KEYBOARD PSRS770 SD CTL";"1";"2015-11-30";"2";"23";"1.92";"0.08";"12000000";"11500000.00";"500000.00";"500000";"12000000.00";"0.00"
