"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"402";"2020-02-19";"712.15.111";"Biaya pemel. kendaraan sd koper";"032/KK51473/SD2-02/20";"Tambah angin ban motor sekolah";"2000.00";"0.00";"111.25.111";"kas kecil sd koper"
"403";"2020-02-19";"622.12.119";"Biaya lomba sd koper";"033/KK51474/SD2-02/20";"Biaya grabcar dari tempat lomba Sains PKG ke sekolah";"29000.00";"0.00";"111.25.111";"kas kecil sd koper"
"404";"2020-02-19";"851.15.111";"Perjln dinas sd koper";"034/KK51475/SD2-02/20";"Biaya perjalanan dinas (I. Roosana) mendampingi peserta lomba Kompetisi Sains Nasional di PKG";"50000.00";"0.00";"111.25.111";"kas kecil sd koper"
"405";"2020-02-20";"112.35.111";"bank bca r/k.77";"038/BCAUM-02/20";"Profit Sharing Vending Mechine Koper periode Jan 20";"365800.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"406";"2020-02-20";"112.35.111";"bank bca r/k.77";"039/BCAUM-02/20";"Profit Sharing Vending Mechine koper periode Des 19";"105100.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"407";"2020-02-20";"112.35.111";"bank bca r/k.77";"040/BCAUM-02/20";"Profit Sharing Vending Mechine Koper periode November 19";"265500.00";"0.00";"551.11.111";"Hadiah/vouch./persembhn natal"
"408";"2020-02-20";"112.28.111";"bdi a/n. ykki";"038/BDIUM-02/20";"SETORAN USAHA DANA UNIT MEKAR (TINTA)";"320000.00";"0.00";"219.21.111";"hutang lain2"
"409";"2020-02-20";"112.28.111";"bdi a/n. ykki";"039/BDIUM-02/20";"SETORAN USAHA DANA KANTIN MEKAR";"1500000.00";"0.00";"219.21.111";"hutang lain2"
"410";"2020-02-20";"112.28.111";"bdi a/n. ykki";"040/BDIUM-02/20";"SEWA KANTIN HERLINDA 7/10 BLN JAN 2020";"1300000.00";"0.00";"521.13.111";"Sewa kantin mekar wangi"
"411";"2020-02-20";"112.28.111";"bdi a/n. ykki";"041/BDIUM-02/20";"UANG HONOR PEMANTAPAN SD KOPER BLN FEB 2020";"2160000.00";"0.00";"219.16.111";"hutang gaji"
"412";"2020-02-20";"112.28.111";"bdi a/n. ykki";"042/BDIUM-02/20";"UANG HONOR PEMANTAPAN SD KOPER BLN FEB 2020";"1200000.00";"0.00";"219.16.111";"hutang gaji"
"413";"2020-02-20";"112.39.111";"bank btpn (rk: 1010308182)";"003/BTPN-02/20";"BUNGA PENYESUAIAN DEPOSITO YG CAIR BLN FEB 2020";"665910.00";"0.00";"112.15.111";"deposito"
"414";"2020-02-20";"112.39.111";"bank btpn (rk: 1010308182)";"004/BTPN-02/20";"BUNGA DEPOSITO PENSIUN YG CAIR BLN FEB 2020";"83850.00";"0.00";"112.15.111";"deposito"
"415";"2020-02-21";"681.19.111";"Kebaktian/rapat/seminar umum";"001/UM-02/20";"Bi. kegiatan Fellowship Lunch u/ acara BP & gereja SKKK bln Feb 2020";"2384700.00";"0.00";"117.11.111";"uang muka lain2"
"416";"2020-02-21";"219.21.111";"hutang lain2";"005/BCL-02/20";"TITIPAN PERPISAHAN SMA KLS XII BLN FEB 2020";"0.00";"29100000.00";"112.37.111";"rek.bca ykki no.6765047017"
"417";"2020-02-21";"112.28.111";"bdi a/n. ykki";"043/BDIUM-02/20";"Pengembalian sisa dana fellowship Lunch bln Feb 2020";"1915300.00";"0.00";"117.11.111";"uang muka lain2"
