"No";"Tanggal";"No_account";"Deskripsi acc";"No_bukti";"Uraian";"Debet";"Kredit";"Kontra_acc";"Deskripsi kontra"
"603";"2020-03-31";"751.11.111";"Biaya adm bank";"01/010-03/20";"BI ADM BANK UPS TK CTL BLN MARET 20";"0.00";"1000.00";"406.11.111";"UP bayar dimuka tk ciateul"
"604";"2020-03-31";"406.11.111";"UP bayar dimuka tk ciateul";"01/011-03/20";"UM UP 20-21 TK CTL BLN MARET 20 (BCA VA)";"0.00";"2500000.00";"112.36.111";"bank bca va ciateul"
"605";"2020-03-31";"406.11.111";"UP bayar dimuka tk ciateul";"01/012-03/20";"UPS 20-21 TK CTL BLN MARET 20 (BCA VA)";"0.00";"1951000.00";"112.36.111";"bank bca va ciateul"
"606";"2020-03-31";"118.11.112";"piutang spp tk koper";"02/001-03/20";"US TK KOPER MARET 2020";"67083750.00";"0.00";"411.12.111";"SPP tk koper"
"607";"2020-03-31";"118.11.112";"piutang spp tk koper";"02/002-03/20";"PEMBYRN PIU.US TK KOPER MARET 20 (BDI KOP)";"0.00";"13133750.00";"112.32.112";"bdi virtual koper (3562373021)"
"608";"2020-03-31";"415.12.111";"u.adm. tk koper";"02/003-03/20";"PEMBYRN EKSKUL TK KOPER MARET 20 (BDI KOP)";"0.00";"1290000.00";"112.32.112";"bdi virtual koper (3562373021)"
"609";"2020-03-31";"118.11.112";"piutang spp tk koper";"02/004-03/20";"PEMBYRN PIU.US TK KOPER MARET 20 (BCA KOP)";"0.00";"46203000.00";"112.36.112";"bank bca va koper"
"610";"2020-03-31";"415.12.111";"u.adm. tk koper";"02/005-03/20";"PEMBYRN EKSKUL 19-20 TK KOPER MARET 20 (BCA KOP)";"0.00";"4780000.00";"112.36.112";"bank bca va koper"
"611";"2020-03-31";"118.11.112";"piutang spp tk koper";"02/006-03/20";"PEMBYRN PIU.US TK KOPER SBLM TA. 19-20 MARET 20 (BCA KOP)";"0.00";"3001000.00";"112.36.112";"bank bca va koper"
"612";"2020-03-31";"751.11.111";"Biaya adm bank";"02/007-03/20";"BI ADM BANK US TK KOPER BLN MARET 2020";"0.00";"66000.00";"118.11.112";"piutang spp tk koper"
"613";"2020-03-31";"751.11.111";"Biaya adm bank";"02/008-03/20";"BI ADM BANK US TK KOPER SBLM TA. 19-20 BLN MARET 2020";"0.00";"1000.00";"118.11.112";"piutang spp tk koper"
"614";"2020-03-31";"118.11.113";"piutang spp tk tki";"03/001-03/20";"US TK TKI MARET 2020";"28243750.00";"0.00";"411.13.111";"SPP tk tki"
"615";"2020-03-31";"119.11.113";"piutang up tk tki";"03/002-03/20";"PEMBYRN PIU.UP TK TKI BLN MARET 20 (BCA TKI)";"0.00";"2000000.00";"112.36.113";"bank bca va tki"
"616";"2020-03-31";"118.11.113";"piutang spp tk tki";"03/003-03/20";"PEMBYRN PIU.US TK TKI BLN MARET 20 (BCA TKI)";"0.00";"18839500.00";"112.36.113";"bank bca va tki"
